latitude,longitude,start_date,location_id
-27.71666667, -50.38333333,1988-10-01,144
-27.75, -50.38333333,1988-10-01,145
-27.89027778, -56.15416667,2006-05-28,146
-27.98226667, -56.01315,2007-11-21,147
-27.98388889, -56.01277778,2006-05-28,148
-28.0, -55.95,2005-10-30,149
-28.21666667, 32.3,1993-02-01,150
-28.36666667, 32.31666667,1986-10-01,151
-28.58333333, 30.06666667,2011-05-26,152
-28.58333333, 32.2,2010-05-31,153
-28.63333333, 31.23333333,1988-03-01,154
-28.66666667, 32.16666667,1986-10-01,155
-28.95, 30.82,2012-03-13,156
-28.99527778, 30.73277778,2013-11-21,157
-29.05638889, 30.52583333,2014-12-17,158
-29.11666667, 30.51666667,2008-09-01,159
-29.17611111, 30.63888889,2014-11-20,160
-29.22, 30.61,2012-01-19,161
-29.24638889, 30.31694444,2013-12-04,162
-29.35, 30.15,1995-05-01,163
-29.51666667, 30.53333333,1993-02-01,164
-29.55, 30.1,2005-02-10,165
-29.55, 30.26666667,2011-06-13,166
-29.56666667, 30.1,2009-02-25,167
-29.56777778, 30.26,2014-11-20,168
-29.72, 29.98,2007-10-01,169
-30.03333333, 29.93333333,1990-12-01,170
-30.05, 29.91666667,1990-12-01,171
-30.13333333, 29.88333333,2011-02-23,172
-30.18333333, 30.1,1996-01-01,173
-30.2, 30.06666667,2009-12-08,174
-30.2, 30.08333333,1988-01-01,175
-30.351862, 29.56498093,2011-11-28,176
-30.435, 29.56388889,2008-11-12,177
-30.531973, 29.78145498,2011-11-11,178
-30.541575, 29.67172778,2013-12-01,179
-30.56666667, 29.73888889,2010-03-22,180
-30.58194444, 29.75,2007-05-05,181
-30.85, 28.23333333,1992-02-01,182
-31.01666667, -55.5,2010-11-16,183
-31.03333333, 28.31666667,1991-02-01,184
-31.071902, 28.330732,2011-12-06,185
-31.1, 28.13333333,1996-02-01,186
-31.110136, 28.1716,2010-02-16,187
-31.23333333, 28.63333333,1988-03-01,188
-31.42277778, 28.5225,2009-02-05,189
-31.436347, 28.533562,2012-12-01,190
-31.45, 28.06666667,1992-02-01,191
-31.46311222, 28.48165361,2013-12-11,192
-31.480201, 28.44499821,2011-11-18,193
-31.63333333, -55.9,2012-05-02,194
-32.16666667, 28.66666667,1986-10-01,195
-32.6, -54.45,2012-05-03,196
-32.7, -54.43333333,2010-11-25,197
-33.80882778, 25.05223056,2008-11-26,198
-33.93694444, 23.57433333,2007-10-02,199
-33.96704444, 23.74690278,2015-10-23,200
-33.96832222, 23.71049722,2016-08-02,201
-33.97689444, 23.69710556,2015-04-29,202
-33.97795833, 23.88289444,2012-03-07,203
-33.98340278, 23.751275,2015-07-29,204
-33.99319444, 23.23712222,2009-08-01,205
-34.00083611, 23.15783333,2007-11-20,206
-34.00194722, 21.27376111,2011-11-24,207
-34.01098333, 21.25663889,2015-09-04,208
-34.01561944, 23.07491389,2012-06-27,209
-34.017, 23.91247222,2008-08-28,210
-34.019475, 24.023675,2013-04-03,211
-34.02075, 23.0809,2014-06-25,212
-34.03038611, 23.18104444,2013-06-11,213
-34.03073611, 24.1727,2014-10-09,214
-34.03802778, 23.16933333,2008-12-02,215
-34.04070278, 23.17475278,2009-04-30,216
-34.04158333, 23.15783333,2007-08-24,217
-35.30694444, -72.39472222,1993-07-01,218
-35.87083333, -71.97527778,1997-08-01,219
-37.03333333, -72.23333333,1997-07-01,220
-37.40916667, -73.26694444,1995-07-06,221
-38.6, -72.4,1996-09-01,222
0.633333333, 35.05,2011-05-01,223
0.6339625, 35.06267222,2011-06-06,224
10.0, -69.08333333,1985-07-01,225
14.6, -90.76666667,1985-10-01,226
17.81488889, -93.75444444,2003-07-11,227
2.25, -76.60444444,1993-12-01,228
2.256666667, -76.58916667,2002-12-09,229
2.258611111, -76.59472222,1987-06-01,230
2.260833333, -76.59805556,1987-06-01,231
2.273888889, -76.59694444,1990-03-01,232
2.273888889, -76.5975,1990-03-01,233
2.274166667, -76.59861111,1990-03-01,234
2.286944444, -76.58194444,1988-12-01,235
2.294722222, -76.59305556,2014-12-11,236
2.296388889, -76.58472222,1982-05-01,237
2.298611111, -76.59083333,1992-05-01,238
2.298888889, -76.58361111,1985-01-01,239
2.310277778, -76.58527778,1996-07-01,240
2.312777778, -76.59055556,1985-01-01,241
2.333888889, -76.59472222,1996-12-01,242
2.433333333, -76.98333333,2007-12-19,243
2.47, -76.90694444,1998-05-01,244
2.502222222, -76.96027778,1992-11-01,245
2.502777778, -76.60722222,2013-06-25,246
2.506666667, -76.60333333,1985-10-01,247
2.508055556, -76.66805556,2004-11-08,248
2.508611111, -76.66805556,2004-11-08,249
2.509166667, -76.62027778,1984-10-01,250
2.5125, -76.60388889,1987-05-01,251
2.5125, -76.61916667,2009-10-21,252
2.513055556, -76.61833333,2008-11-11,253
2.515, -76.60694444,1981-11-01,254
2.515833333, -76.60888889,1981-11-01,255
2.578055556, -76.575,1985-11-01,256
2.583055556, -76.55027778,1992-05-01,257
2.584166667, -76.58527778,2011-05-17,258
2.584444444, -76.59277778,1989-01-01,259
2.591111111, -76.58888889,1983-11-01,260
2.628611111, -76.55305556,1987-05-01,261
2.628888889, -76.54972222,2000-11-28,262
3.083333333, -71.08333333,1983-05-01,263
3.677777778, -76.52305556,1985-11-01,264
3.688611111, -76.56222222,2000-12-05,265
