env,TestId,Specie,latitude,longitude,Productivity (y),data_final,date_final,age (years),Feature,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,elev
1,204118A,PGRS,-38.6,-72.4,9.24,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,9.26,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,9.36,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,9.59,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,9.62,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.14,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.21,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.26,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.31,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.41,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.47,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.62,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,10.72,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,11.14,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PGRS,-38.6,-72.4,11.50,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,9.67,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,9.80,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,9.95,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.18,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.23,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.33,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.36,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.38,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.39,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.46,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.46,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.51,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.57,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.71,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.72,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.82,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.86,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.90,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
1,204118A,PPAT,-38.6,-72.4,10.92,9/1/1996,8/30/2004,8,,11.66250038,16.35000038,7.366666794,1469,259,40,65.4683075,720,126,144,662,12.22500038,55.82191849,363.5689697,24.89999962,3,21.89999962,7.900000095,16,181
